,month,Thickness
0,1979-01,2.000516129032258
1,1979-02,2.098642857142857
2,1979-03,2.2068709677419354
3,1979-04,2.3757666666666664
4,1979-05,2.5511935483870967
5,1979-06,2.5681333333333334
6,1979-07,2.3891612903225803
7,1979-08,2.3018709677419356
8,1979-09,2.3252333333333337
9,1979-10,2.165225806451613
10,1979-11,1.9637
11,1979-12,1.8973548387096772
12,1980-01,1.9888709677419356
13,1980-02,2.086464285714286
14,1980-03,2.2230967741935483
15,1980-04,2.3609333333333336
16,1980-05,2.541677419354839
17,1980-06,2.5852333333333335
18,1980-07,2.336129032258065
19,1980-08,2.1701290322580644
20,1980-09,2.0792333333333333
21,1980-10,1.988483870967742
22,1980-11,1.8392000000000002
23,1980-12,1.7945483870967742
24,1981-01,1.8719677419354839
25,1981-02,1.9864285714285714
26,1981-03,2.108967741935484
27,1981-04,2.2430000000000003
28,1981-05,2.393516129032258
29,1981-06,2.3429333333333333
30,1981-07,2.0243548387096775
31,1981-08,1.8081935483870968
32,1981-09,1.7195333333333334
33,1981-10,1.6525806451612903
34,1981-11,1.5930333333333333
35,1981-12,1.5468064516129032
36,1982-01,1.6538387096774192
37,1982-02,1.7808214285714286
38,1982-03,1.9167096774193548
39,1982-04,2.0649
40,1982-05,2.178483870967742
41,1982-06,2.1893000000000002
42,1982-07,1.9145806451612901
43,1982-08,1.7437096774193548
44,1982-09,1.7127666666666668
45,1982-10,1.6356774193548387
46,1982-11,1.6223999999999998
47,1982-12,1.6490645161290323
48,1983-01,1.7796774193548388
49,1983-02,1.8851071428571429
50,1983-03,2.0168709677419354
51,1983-04,2.2105333333333332
52,1983-05,2.428193548387097
53,1983-06,2.4082333333333334
54,1983-07,2.124806451612903
55,1983-08,1.9396129032258065
56,1983-09,1.9390666666666665
57,1983-10,1.839451612903226
58,1983-11,1.7373
59,1983-12,1.7493548387096773
60,1984-01,1.8742580645161289
61,1984-02,1.9822142857142857
62,1984-03,2.072354838709677
63,1984-04,2.2239666666666666
64,1984-05,2.373548387096774
65,1984-06,2.3914666666666666
66,1984-07,2.12958064516129
67,1984-08,1.9989677419354837
68,1984-09,1.9614666666666667
69,1984-10,1.9117741935483872
70,1984-11,1.7769333333333333
71,1984-12,1.7839354838709678
72,1985-01,1.8913548387096772
73,1985-02,1.992535714285714
74,1985-03,2.1228709677419353
75,1985-04,2.2393666666666667
76,1985-05,2.3569354838709677
77,1985-06,2.393333333333333
78,1985-07,2.182
79,1985-08,2.085935483870968
80,1985-09,2.0169
81,1985-10,1.9154193548387097
82,1985-11,1.7818333333333334
83,1985-12,1.7946129032258065
84,1986-01,1.8613225806451612
85,1986-02,1.9952142857142856
86,1986-03,2.127806451612903
87,1986-04,2.2877333333333336
88,1986-05,2.453032258064516
89,1986-06,2.4683333333333333
90,1986-07,2.1717096774193547
91,1986-08,2.032064516129032
92,1986-09,2.0356
93,1986-10,1.934
94,1986-11,1.8239666666666667
95,1986-12,1.854774193548387
96,1987-01,1.9521290322580644
97,1987-02,2.028857142857143
98,1987-03,2.1774193548387095
99,1987-04,2.3228999999999997
100,1987-05,2.504032258064516
101,1987-06,2.4907666666666666
102,1987-07,2.1861290322580644
103,1987-08,1.9959677419354838
104,1987-09,1.9689333333333332
105,1987-10,1.9120967741935484
106,1987-11,1.8417
107,1987-12,1.7961935483870968
108,1988-01,1.8898387096774194
109,1988-02,2.011607142857143
110,1988-03,2.1234193548387092
111,1988-04,2.2246333333333337
112,1988-05,2.412258064516129
113,1988-06,2.404733333333333
114,1988-07,2.184258064516129
115,1988-08,2.018806451612903
116,1988-09,1.9226999999999999
117,1988-10,1.8404193548387096
118,1988-11,1.7596333333333334
119,1988-12,1.7303870967741937
120,1989-01,1.8271935483870967
121,1989-02,1.9540000000000002
122,1989-03,2.1050967741935485
123,1989-04,2.3007666666666666
124,1989-05,2.4575161290322582
125,1989-06,2.4050333333333334
126,1989-07,2.116
127,1989-08,1.9942903225806452
128,1989-09,1.9823
129,1989-10,1.84
130,1989-11,1.7651000000000001
131,1989-12,1.750483870967742
132,1990-01,1.858967741935484
133,1990-02,1.9728214285714285
134,1990-03,2.053225806451613
135,1990-04,2.2382
136,1990-05,2.378612903225806
137,1990-06,2.362
138,1990-07,2.078483870967742
139,1990-08,2.0848709677419355
140,1990-09,2.0644666666666667
141,1990-10,1.8288387096774195
142,1990-11,1.7448000000000001
143,1990-12,1.765483870967742
144,1991-01,1.9106451612903226
145,1991-02,2.010607142857143
146,1991-03,2.142
147,1991-04,2.2646
148,1991-05,2.43058064516129
149,1991-06,2.3358333333333334
150,1991-07,2.0699354838709674
151,1991-08,1.9796451612903225
152,1991-09,1.9512
153,1991-10,1.7676774193548388
154,1991-11,1.7084000000000001
155,1991-12,1.738032258064516
156,1992-01,1.8197419354838709
157,1992-02,1.9247857142857143
158,1992-03,2.0673225806451616
159,1992-04,2.2308000000000003
160,1992-05,2.408354838709678
161,1992-06,2.3730333333333333
162,1992-07,2.0266129032258067
163,1992-08,1.975967741935484
164,1992-09,2.0174666666666665
165,1992-10,1.8646774193548388
166,1992-11,1.7856999999999998
167,1992-12,1.7962903225806452
168,1993-01,1.8824516129032258
169,1993-02,1.9517857142857142
170,1993-03,2.0593548387096776
171,1993-04,2.2381666666666664
172,1993-05,2.3896774193548387
173,1993-06,2.2736
174,1993-07,1.9201935483870969
175,1993-08,1.8192903225806452
176,1993-09,1.7962666666666667
177,1993-10,1.6338064516129032
178,1993-11,1.5865333333333334
179,1993-12,1.6607096774193548
180,1994-01,1.7898709677419353
